Distance_(pixels),Gray_Value
0,4335
1,4590
2,4845
3,5610
4,4845
5,4335
6,4080
7,4080
8,4335
9,4335
10,4335
11,4590
12,3315
13,3825
14,4080
15,4845
16,3825
17,4080
18,4080
19,3315
20,4335
21,3825
22,3315
23,3570
24,4590
25,5355
26,5100
27,4080
28,3570
29,3825
30,3570
31,4845
32,3825
33,4080
34,4335
35,3315
36,3825
37,3825
38,3060
39,3315
40,3825
41,3315
42,5100
43,3825
44,4080
45,4590
46,4080
47,3825
48,3825
49,3570
50,4080
51,4080
52,4335
53,3825
54,4845
55,5100
56,4590
57,3825
58,3570
59,3825
60,3825
61,4080
62,3570
63,3825
64,4335
65,4335
66,3825
67,4590
68,4590
69,4845
70,4080
71,3825
72,3825
73,4335
74,3825
75,4080
76,3570
77,4080
78,3825
79,3825
80,3315
81,2805
82,3570
83,3825
84,3570
85,3825
86,5100
87,4080
88,3570
89,5100
90,4845
91,4590
92,4335
93,4590
94,3570
95,3825
96,4335
97,5100
98,5865
99,4335
100,3825
101,5355
102,4335
103,3570
104,4335
105,3825
106,4080
107,4080
108,3060
109,3825
110,3570
111,3570
112,9435
113,3315
114,3825
115,3315
116,3825
117,3825
118,3570
119,4080
120,3315
121,4335
122,4335
123,3825
124,3570
125,3825
126,4590
127,4080
128,4590
129,3570
130,3825
131,3825
132,4080
133,3315
134,3570
135,3315
136,4335
137,3570
138,3315
139,4080
140,3315
141,3315
142,3060
143,4080
144,4080
145,4080
146,3060
147,4845
148,3570
149,3315
150,3315
151,3315
152,3315
153,3570
154,3570
155,4080
156,3825
157,4335
158,3315
159,3570
160,3570
161,3825
162,3570
163,4080
164,4590
165,4845
166,4080
167,3825
168,2805
169,3315
170,4590
171,3825
172,3315
173,3060
174,3060
175,3570
176,4590
177,4080
178,3570
179,3570
180,2805
181,2805
182,3825
183,4335
184,4335
185,4335
186,4080
187,4590
188,3570
189,3315
190,4080
191,3570
192,3315
193,3315
194,3315
195,3060
196,3825
197,3825
198,3825
199,3825
200,3825
201,3315
202,3570
203,3570
204,4080
205,4080
206,3825
207,3825
208,4080
209,4590
210,4335
211,4335
212,3825
213,4590
214,4080
215,4590
216,4080
217,3825
218,3825
219,3315
220,3315
221,3825
222,3315
223,3825
224,2550
225,3570
226,3315
227,3060
228,2550
229,2805
230,3825
231,3570
232,4080
233,3570
234,3825
235,3315
236,3315
237,2805
238,3570
239,3315
240,3570
241,3060
242,3825
243,4080
244,3060
245,3825
246,4080
247,4080
248,3315
249,3315
250,3825
251,3570
252,3060
253,3570
254,3825
255,4080
256,4845
257,4080
258,3825
259,3570
260,3570
261,5865
262,5355
263,4845
264,3315
265,3825
266,2805
267,3570
268,4080
269,3825
270,4335
271,3570
272,4335
273,3825
274,4590
275,4080
276,4335
277,3060
278,3315
279,3570
280,3825
281,3570
282,3315
283,3825
284,3825
285,3315
286,3825
287,3825
288,4845
289,4845
290,4590
291,4845
292,4590
293,4080
294,4080
295,3825
296,3825
297,3825
298,3825
299,3825
300,3060
301,3060
302,4335
303,3570
304,3825
305,3315
306,4080
307,3315
308,3570
309,2805
310,3315
311,3315
312,4335
313,4590
314,4845
315,4335
316,3315
317,3570
318,3060
319,3315
320,3825
321,3825
322,3825
323,3315
324,3060
325,3570
326,3825
327,3825
328,3570
329,4080
330,3570
331,3825
332,3315
333,4080
334,4845
335,4845
336,4335
337,4335
338,3570
339,3570
340,3825
341,2550
342,3570
343,3060
344,3315
345,3060
346,3825
347,3315
348,3570
349,3060
350,3315
351,3315
352,3570
353,3825
354,2550
355,4335
356,3825
357,4335
358,4590
359,3825
360,3315
361,3060
362,3570
363,4335
364,4335
365,4080
366,3315
367,4080
368,3825
369,3315
370,3315
371,3825
372,4590
373,3825
374,3570
375,3570
376,2805
377,3060
378,4080
379,3570
380,3315
381,3315
382,4080
383,3570
384,3315
385,3825
386,3570
387,3825
388,4590
389,3825
390,4845
391,4335
392,4335
393,4080
394,4080
395,3825
396,3825
397,3315
398,3315
399,3315
400,3570
401,3825
402,3825
403,4590
404,3315
405,2295
406,4335
407,3570
408,3060
409,4080
410,4590
411,4335
412,3315
413,4080
414,3315
415,3825
416,3570
417,3315
418,3570
419,3825
420,5100
421,4590
422,4845
423,5355
424,4335
425,3825
426,4080
427,5100
428,4080
429,3315
430,3570
431,3060
432,2805
433,3570
434,3060
435,3060
436,3315
437,3315
438,4335
439,4590
440,4080
441,3825
442,3570
443,4080
444,4590
445,4080
446,3825
447,3825
448,3060
449,4080
450,3825
451,3315
452,4080
453,3060
454,4335
455,4590
456,3825
457,3825
458,3060
459,3570
460,3315
461,3570
462,4080
463,3570
464,3825
465,3825
466,4590
467,4845
468,4080
469,3825
470,3570
471,3570
472,4080
473,3570
474,3570
475,4080
476,3060
477,3570
478,3060
479,4080
480,3060
481,3060
482,3825
483,4080
484,3570
485,3060
486,3825
487,3570
488,3825
489,3060
490,3315
491,3060
492,3060
493,3825
494,4335
495,3825
496,3570
497,4080
498,3825
499,4335
500,3825
501,3315
502,3825
503,3570
504,2295
505,3315
506,3315
507,3825
508,4080
509,3825
510,4335
511,4335
512,3570
513,3825
514,4845
515,4845
516,3570
517,3315
518,2805
519,4335
520,2805
521,3315
522,3825
523,4335
524,3570
525,4335
526,3060
527,4080
528,3315
529,3570
530,3315
531,2295
532,4080
533,4335
534,4080
535,3570
536,3570
537,3570
538,3315
539,3315
540,3825
541,3570
542,3060
543,3315
544,4335
545,3825
546,3825
547,3570
548,3060
549,3825
550,3315
551,3825
552,3570
553,3315
554,4335
555,3315
556,4080
557,4335
558,3570
559,3570
560,3570
561,3060
562,3570
563,4080
564,4845
565,3315
566,3825
567,3315
568,2805
569,3060
570,3570
571,4335
572,3825
573,3570
574,3570
575,3315
576,3315
577,3060
578,4080
579,4335
580,4080
581,3825
582,4335
583,4335
584,4080
585,3570
586,3825
587,4080
588,3315
589,3315
590,3060
591,3570
592,3825
593,5100
594,4335
595,4080
596,3570
597,2550
598,4080
599,2805
600,3825
601,4590
602,4845
603,3825
604,3825
605,4590
606,4590
607,5100
608,3315
609,3570
610,4080
611,4080
612,3570
613,3825
614,3825
615,3315
616,3315
617,3825
618,3315
619,3315
620,4335
621,5865
622,6630
623,4845
624,3570
625,3825
626,3825
627,3570
628,3570
629,3060
630,2805
631,4845
632,3570
633,3570
634,4080
635,4080
636,3825
637,3825
638,4335
639,3825
640,4845
641,4335
642,4335
643,4845
644,4335
645,3570
646,3570
647,3315
648,4080
649,3570
650,3825
651,3315
652,3825
653,3315
654,3315
655,3570
656,3570
657,4080
658,4590
659,3825
660,3570
661,3825
662,4335
663,4080
664,4080
665,4080
666,3570
667,3315
668,4080
669,3570
670,4335
671,3825
672,3570
673,3570
674,3060
675,2805
676,3060
677,3315
678,3825
679,3315
680,4845
681,3825
682,3825
683,3570
684,3570
685,4080
686,3570
687,3315
688,3570
689,3825
690,3825
691,3060
692,3060
693,3570
694,4080
695,5865
696,5355
697,3825
698,3570
699,3315
700,3315
701,4590
702,4080
703,3825
704,4845
705,4080
706,4590
707,4590
708,3315
709,3825
710,4335
711,4590
712,3315
713,3315
