Distance_(pixels),Gray_Value
0,3060.000
1,3825.398
2,3316.594
3,4335.000
4,4593.188
5,4845.000
6,5352.609
7,5598.844
8,5093.625
9,5344.242
10,4837.031
11,3336.914
12,3820.219
13,4074.820
14,4085.578
15,3575.977
16,4080.000
17,4086.773
18,4859.344
19,4342.570
20,4590.000
21,4063.266
22,4071.234
23,4845.000
24,5297.625
25,4805.156
26,3346.078
27,4335.000
28,4312.688
29,6073.781
30,6024.375
31,5293.242
32,4526.250
33,4321.852
34,3838.547
35,4121.836
36,4604.344
37,3628.969
38,3840.141
39,4064.461
40,4542.188
41,4318.664
42,3586.734
43,4080.000
44,4554.938
45,4554.141
46,4098.328
47,3881.180
48,3844.125
49,4511.906
50,4275.234
51,4804.359
52,3590.719
53,4080.000
54,4101.516
55,3868.828
56,4124.625
57,3893.133
58,4080.000
59,3593.508
60,4080.000
61,4468.477
62,4976.484
63,3570.000
64,3085.500
65,4512.305
66,5662.594
67,5461.781
68,4644.188
69,4162.477
70,3115.781
71,3853.289
72,3767.625
73,4247.742
74,3913.453
75,4109.883
76,3479.156
77,3376.359
78,4017.844
79,5131.477
80,4111.875
81,3666.820
82,4112.672
83,4080.000
84,4113.469
85,3858.867
86,3467.203
87,3721.008
88,3315.000
89,4080.000
90,3641.719
91,4262.484
92,3898.312
93,3500.273
94,3607.453
95,4221.445
96,3493.500
97,3353.648
98,4040.953
99,4277.227
100,3825.000
101,3355.242
102,3529.359
103,3315.000
104,3735.750
105,3398.672
106,3867.234
107,4080.000
108,4335.000
109,3315.000
110,4458.516
111,4113.867
112,4666.500
113,4499.953
114,3734.156
115,3406.641
116,4150.125
117,3871.617
118,3938.953
119,4240.172
120,4605.938
121,4286.789
122,4541.391
123,4129.008
124,4894.406
125,3974.414
126,3620.203
127,3723.797
128,3519.000
129,3979.195
130,3928.594
131,4439.391
132,4282.406
133,3877.992
134,4939.828
135,6106.055
136,4590.000
137,4225.828
138,3770.016
139,3570.000
140,3737.344
141,4222.641
142,4335.000
143,3966.047
144,3372.375
145,4277.227
146,3744.516
147,3745.711
148,3687.938
149,2864.367
150,4215.469
151,3315.000
152,3436.125
153,3558.844
154,4722.281
155,4783.242
156,4328.625
157,4585.219
158,4397.953
159,4461.703
160,4845.000
161,4718.297
162,4335.000
163,4650.164
164,4897.594
165,4203.516
166,3768.422
167,4346.156
168,4723.875
169,4522.664
170,4657.734
171,4403.133
172,4129.406
173,4266.070
174,3777.984
175,4195.547
176,3780.375
177,3526.570
178,3385.922
179,3967.641
180,3570.000
181,3786.352
182,3350.062
183,3205.828
184,4188.375
185,4153.711
186,4154.109
187,4260.492
188,4590.000
189,3946.523
190,3494.297
191,3261.609
192,3570.000
193,3391.898
194,4080.000
195,3825.000
196,3491.906
197,3825.000
198,3746.109
199,4414.289
200,4000.312
201,4444.570
202,3730.969
203,4602.352
204,5203.594
205,4845.000
206,3652.078
207,3479.953
208,3652.875
209,3481.547
210,3908.672
211,3738.141
212,3825.000
213,3485.133
214,3570.000
215,4165.664
216,4586.812
217,4162.078
218,3738.141
219,4160.484
220,3490.312
221,3658.055
222,3804.281
223,3492.703
224,3748.500
225,3570.000
226,3389.906
227,3298.664
228,3150.844
229,3733.758
230,4008.281
231,3846.117
232,3407.438
233,4890.820
234,4565.297
235,4402.734
236,4750.969
237,4372.852
238,4400.344
239,4239.773
240,4175.625
241,3570.000
242,3597.891
243,4018.641
244,4395.562
245,4785.234
246,5198.016
247,4236.586
248,3570.000
249,3470.789
250,3613.828
251,4080.000
252,3515.812
253,4085.977
254,4132.594
255,3468.398
256,3570.000
257,4080.000
258,4746.188
259,3825.000
260,3976.406
261,4174.031
262,3975.609
263,3360.422
264,4424.250
265,4546.172
266,3632.953
267,3889.148
268,3570.000
269,3315.000
270,3972.422
271,3462.023
272,3716.625
273,3386.320
274,3424.172
275,4153.711
276,4335.000
277,3570.000
278,4224.234
279,4877.672
280,3570.000
281,3681.961
282,3652.078
283,3795.516
284,3315.000
285,3428.555
286,3542.906
287,4361.297
288,3901.500
289,3380.742
290,3315.000
291,4103.109
292,3708.656
293,3708.258
294,3039.281
295,3687.539
296,3668.812
297,2959.992
298,3961.266
299,4811.531
300,4980.469
301,3960.070
302,3959.672
303,3435.727
304,3436.125
305,3448.477
306,4091.156
307,4701.961
308,3957.281
309,3693.117
310,3307.031
311,3198.258
312,3570.000
313,3439.711
314,2930.109
315,2934.492
316,3699.094
317,3703.477
318,3953.297
319,3186.305
320,3570.000
321,3952.102
322,3696.703
323,4206.305
324,4202.719
325,4083.984
326,3570.000
327,3955.289
328,3315.000
329,3446.086
330,3964.453
331,4343.766
332,4202.719
333,4467.680
334,3448.078
335,3315.000
336,3703.875
337,3784.359
338,3959.672
339,4110.281
340,4860.938
341,3977.602
342,3807.469
343,3396.680
344,3805.875
345,3295.078
346,3473.578
347,3613.031
348,4057.688
349,4149.727
350,4056.094
351,3685.148
352,3429.750
353,4080.000
354,3938.953
355,4362.891
356,5100.000
357,4335.000
358,3570.000
359,4080.000
360,3936.562
361,3857.672
362,4113.469
363,4224.633
364,3895.125
365,3570.000
366,3715.828
