Distance_(pixels),Gray_Value
0,0.007843
1,0.007843
2,0.062745
3,0.125490
4,0.105882
5,0.043137
6,0.015686
7,0.023529
8,0.125490
9,0.203922
10,0.117647
11,0.007843
12,0.031373
13,0.062745
14,0.066667
15,0.050980
16,0.031373
17,0.027451
18,0.011765
19,0.015686
20,0.062745
21,0.070588
22,0.050980
23,0.023529
24,0.047059
25,0.047059
26,0.054902
27,0.066667
28,0.058824
29,0.066667
30,0.074510
31,0.062745
32,0.066667
33,0.074510
34,0.062745
35,0.047059
36,0.043137
37,0.047059
38,0.023529
39,0.023529
40,0.078431
41,0.125490
42,0.066667
43,0.019608
44,0.027451
45,0.043137
46,0.023529
47,0.019608
48,0.027451
49,0.019608
50,0.019608
51,0.027451
52,0.023529
53,0.027451
54,0.023529
55,0.031373
56,0.066667
57,0.058824
58,0.027451
59,0.019608
60,0.035294
61,0.066667
62,0.094118
63,0.086275
64,0.047059
65,0.019608
66,0.027451
67,0.043137
68,0.023529
69,0.015686
70,0.043137
71,0.082353
72,0.066667
73,0.015686
74,0.003922
75,0.035294
76,0.054902
77,0.031373
78,0.011765
79,0.035294
80,0.047059
81,0.086275
82,0.105882
83,0.047059
84,0.019608
85,0.015686
86,0.027451
87,0.066667
88,0.070588
89,0.035294
90,0.027451
91,0.007843
92,0.003922
93,0.019608
94,0.039216
95,0.058824
96,0.066667
97,0.050980
98,0.019608
99,0.027451
100,0.035294
101,0.027451
102,0.039216
103,0.035294
104,0.062745
105,0.105882
106,0.058824
107,0.023529
108,0.019608
109,0.023529
110,0.070588
111,0.058824
112,0.031373
113,0.074510
114,0.070588
115,0.039216
116,0.019608
117,0.011765
118,0.019608
119,0.035294
120,0.047059
121,0.027451
122,0.007843
123,0.031373
124,0.043137
125,0.019608
126,0.003922
127,0.027451
128,0.078431
129,0.117647
130,0.082353
131,0.047059
132,0.023529
133,0.011765
134,0.066667
135,0.105882
136,0.070588
137,0.054902
138,0.074510
139,0.062745
140,0.027451
141,0.047059
142,0.101961
143,0.101961
144,0.090196
145,0.129412
146,0.149020
147,0.082353
148,0.031373
149,0.058824
150,0.086275
151,0.039216
152,0.015686
153,0.015686
154,0.027451
155,0.070588
156,0.062745
157,0.027451
158,0.023529
159,0.050980
160,0.078431
161,0.054902
162,0.007843
163,0.003922
164,0.011765
165,0.015686
166,0.023529
167,0.023529
168,0.050980
169,0.094118
170,0.058824
171,0.019608
172,0.043137
173,0.054902
174,0.019608
175,0.027451
176,0.054902
177,0.043137
178,0.011765
179,0.023529
180,0.019608
181,0.003922
182,0.011765
183,0.023529
184,0.050980
185,0.082353
186,0.066667
187,0.035294
188,0.066667
189,0.090196
190,0.078431
191,0.070588
192,0.078431
193,0.058824
194,0.031373
195,0.015686
196,0.003922
197,0.003922
198,0.007843
199,0.023529
200,0.062745
201,0.054902
202,0.047059
203,0.031373
204,0.007843
205,0.011765
206,0.035294
207,0.031373
208,0.023529
209,0.070588
210,0.090196
211,0.035294
212,0.007843
213,0.035294
214,0.043137
215,0.019608
216,0.011765
217,0.011765
218,0.007843
219,0.007843
220,0.007843
221,0.015686
222,0.023529
223,0.031373
224,0.043137
225,0.047059
226,0.015686
227,0.047059
228,0.098039
229,0.086275
230,0.094118
231,0.160784
232,0.098039
233,0.015686
234,0.047059
235,0.078431
236,0.043137
237,0.019608
238,0.023529
239,0.023529
240,0.023529
241,0.062745
242,0.101961
243,0.074510
244,0.031373
245,0.023529
246,0.015686
247,0.015686
248,0.015686
249,0.035294
250,0.066667
251,0.086275
252,0.062745
253,0.019608
254,0.011765
255,0.019608
256,0.011765
257,0.000000
258,0.003922
259,0.050980
260,0.094118
261,0.074510
262,0.027451
263,0.023529
264,0.047059
265,0.027451
266,0.011765
267,0.003922
268,0.023529
269,0.058824
270,0.058824
271,0.039216
272,0.027451
273,0.054902
274,0.062745
275,0.019608
276,0.011765
277,0.054902
278,0.035294
279,0.027451
280,0.086275
281,0.086275
282,0.050980
283,0.031373
284,0.043137
285,0.066667
286,0.050980
287,0.050980
288,0.050980
289,0.086275
290,0.133333
291,0.094118
292,0.015686
293,0.007843
294,0.023529
295,0.023529
296,0.058824
297,0.101961
298,0.090196
299,0.074510
300,0.066667
301,0.066667
302,0.070588
303,0.078431
304,0.062745
305,0.035294
306,0.023529
307,0.015686
308,0.011765
309,0.027451
310,0.050980
311,0.043137
312,0.043137
313,0.043137
314,0.054902
315,0.062745
316,0.035294
317,0.015686
318,0.015686
319,0.019608
320,0.047059
321,0.023529
322,0.054902
323,0.149020
324,0.098039
325,0.035294
326,0.035294
327,0.007843
328,0.058824
329,0.086275
330,0.058824
331,0.054902
332,0.074510
333,0.086275
334,0.133333
335,0.125490
336,0.094118
337,0.156863
338,0.184314
339,0.074510
340,0.015686
341,0.031373
342,0.047059
343,0.031373
344,0.019608
345,0.094118
346,0.207843
347,0.172549
348,0.074510
349,0.050980
350,0.082353
351,0.066667
352,0.035294
353,0.047059
354,0.090196
355,0.086275
356,0.058824
357,0.035294
358,0.019608
359,0.000000
360,0.011765
361,0.023529
362,0.007843
363,0.015686
364,0.031373
365,0.035294
366,0.043137
367,0.039216
368,0.043137
369,0.070588
370,0.109804
371,0.086275
372,0.047059
373,0.054902
374,0.058824
375,0.039216
376,0.027451
377,0.031373
378,0.058824
379,0.129412
380,0.105882
381,0.019608
382,0.054902
383,0.098039
384,0.054902
385,0.027451
386,0.043137
387,0.078431
388,0.082353
389,0.062745
390,0.047059
391,0.031373
392,0.031373
393,0.050980
394,0.058824
395,0.043137
396,0.035294
397,0.031373
398,0.019608
399,0.000000
400,0.011765
401,0.094118
402,0.133333
403,0.094118
404,0.031373
405,0.019608
406,0.054902
407,0.062745
408,0.043137
409,0.023529
410,0.043137
411,0.082353
412,0.050980
413,0.043137
414,0.070588
415,0.035294
416,0.047059
417,0.090196
418,0.078431
419,0.070588
420,0.070588
421,0.058824
422,0.050980
423,0.043137
424,0.031373
425,0.003922
426,0.003922
427,0.027451
428,0.019608
429,0.035294
430,0.098039
431,0.141176
432,0.141176
433,0.082353
434,0.003922
435,0.015686
436,0.023529
437,0.094118
438,0.227451
439,0.129412
440,0.039216
441,0.149020
442,0.145098
443,0.043137
444,0.000000
