Distance_(pixels),Gray_Value
0,0.000000
1,0.000000
2,0.000000
3,0.019608
4,0.058824
5,0.058824
6,0.031373
7,0.003922
8,0.011765
9,0.027451
10,0.039216
11,0.027451
12,0.003922
13,0.011765
14,0.011765
15,0.000000
16,0.000000
17,0.015686
18,0.015686
19,0.035294
20,0.011765
21,0.000000
22,0.003922
23,0.094118
24,0.125490
25,0.074510
26,0.035294
27,0.039216
28,0.011765
29,0.007843
30,0.019608
31,0.015686
32,0.027451
33,0.015686
34,0.015686
35,0.058824
36,0.101961
37,0.086275
38,0.027451
39,0.000000
40,0.019608
41,0.015686
42,0.023529
43,0.070588
44,0.086275
45,0.094118
46,0.066667
47,0.011765
48,0.019608
49,0.047059
50,0.058824
51,0.019608
52,0.000000
53,0.000000
54,0.000000
55,0.011765
56,0.027451
57,0.015686
58,0.000000
59,0.000000
60,0.019608
61,0.062745
62,0.086275
63,0.058824
64,0.043137
65,0.039216
66,0.031373
67,0.062745
68,0.074510
69,0.027451
70,0.000000
71,0.000000
72,0.000000
73,0.027451
74,0.019608
75,0.000000
76,0.000000
77,0.050980
78,0.007843
79,0.000000
80,0.000000
81,0.039216
82,0.011765
83,0.007843
84,0.011765
85,0.007843
86,0.015686
87,0.035294
88,0.031373
89,0.039216
90,0.023529
91,0.011765
92,0.015686
93,0.000000
94,0.000000
95,0.000000
96,0.058824
97,0.078431
98,0.023529
99,0.019608
100,0.027451
101,0.011765
102,0.003922
103,0.015686
104,0.003922
105,0.000000
106,0.011765
107,0.000000
108,0.000000
109,0.043137
110,0.062745
111,0.011765
112,0.011765
113,0.043137
114,0.031373
115,0.023529
116,0.039216
117,0.031373
118,0.023529
119,0.007843
120,0.015686
121,0.027451
122,0.070588
123,0.109804
124,0.062745
125,0.000000
126,0.000000
127,0.007843
128,0.054902
129,0.035294
130,0.003922
131,0.027451
132,0.019608
133,0.000000
134,0.000000
135,0.007843
136,0.000000
137,0.000000
138,0.000000
139,0.054902
140,0.125490
141,0.129412
142,0.090196
143,0.074510
144,0.070588
145,0.098039
146,0.121569
147,0.098039
148,0.043137
149,0.003922
150,0.000000
151,0.000000
152,0.000000
153,0.000000
154,0.000000
155,0.000000
156,0.000000
157,0.043137
158,0.043137
159,0.000000
160,0.000000
161,0.031373
162,0.129412
163,0.105882
164,0.000000
165,0.066667
166,0.152941
167,0.090196
168,0.000000
169,0.000000
170,0.000000
171,0.000000
172,0.000000
173,0.019608
174,0.000000
175,0.015686
176,0.164706
177,0.164706
178,0.090196
179,0.054902
180,0.066667
181,0.086275
182,0.011765
183,0.000000
184,0.050980
185,0.000000
186,0.000000
187,0.105882
188,0.098039
189,0.043137
190,0.494118
191,0.756863
192,0.200000
193,0.000000
194,0.000000
195,0.000000
196,0.094118
197,0.000000
198,0.000000
199,0.000000
200,0.000000
201,0.000000
202,0.000000
203,0.000000
204,0.000000
205,0.000000
206,0.000000
207,0.000000
208,0.000000
209,0.000000
210,0.000000
211,0.000000
212,0.000000
213,0.000000
